Date,Season,Actual,Predicted,HomeProb,DrawProb,AwayProb,HomeOdds,DrawOdds,AwayOdds,Bet_Outcome,Bet_Odds,Won,PnL
2006-08-19,2006,H,D,0.19209117,0.40508407,0.40282476,2.0,3.2,3.75,D,3.2,False,-100.0
2006-08-19,2006,H,H,0.90221214,0.028196422,0.06959147,2.3,3.1,3.1,H,2.3,True,129.99999999999997
2006-08-19,2006,D,H,0.94179577,0.049888007,0.008316257,1.28,4.5,13.0,H,1.28,False,-100.0
2006-08-19,2006,H,H,0.6240536,0.15969309,0.21625331,2.62,3.2,2.6,H,2.62,True,162.0
2006-08-19,2006,H,H,0.74509335,0.029527722,0.22537895,1.72,3.5,4.75,H,1.72,True,72.0
2006-08-20,2006,H,H,0.7522693,0.043453377,0.2042773,1.22,5.5,13.0,H,1.22,True,21.999999999999996
2006-08-20,2006,H,H,0.97989297,0.008161847,0.011945164,1.22,5.5,13.0,H,1.22,True,21.999999999999996
2006-08-22,2006,H,H,0.4970138,0.4502875,0.05269872,1.5,3.75,7.0,H,1.5,True,50.0
2006-08-22,2006,D,A,0.21684393,0.018414408,0.76474166,2.87,3.2,2.4,A,2.4,False,-100.0
2006-08-23,2006,D,A,0.277542,0.05401345,0.6684445,2.2,3.1,3.1,A,3.1,False,-100.0
2006-08-23,2006,H,A,0.037102185,0.19639434,0.7665035,8.5,3.75,1.44,A,1.44,False,-100.0
2006-08-23,2006,D,H,0.5255501,0.05614504,0.41830486,2.4,3.2,2.87,H,2.4,False,-100.0
2006-08-23,2006,D,D,0.18596146,0.44006497,0.37397355,2.3,3.1,3.1,D,3.1,True,210.0
2006-08-23,2006,H,A,0.12800685,0.030213691,0.8417794,1.9,3.25,4.0,A,4.0,False,-100.0
2006-08-23,2006,A,A,0.17960875,0.08657766,0.73381364,7.5,3.6,1.5,A,1.5,True,50.0
2006-08-26,2006,H,H,0.5850577,0.3837031,0.031239236,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-08-26,2006,A,A,0.010052669,0.19591956,0.79402775,7.5,4.33,1.4,A,1.4,True,39.99999999999999
2006-08-26,2006,A,H,0.61122906,0.3505075,0.038263448,1.72,3.4,5.0,H,1.72,False,-100.0
2006-08-26,2006,H,A,0.2814991,0.04100705,0.6774938,2.5,3.1,2.8,A,2.8,False,-100.0
2006-08-26,2006,H,H,0.84079605,0.13992678,0.019277204,1.44,4.0,7.5,H,1.44,True,43.99999999999999
2006-08-26,2006,H,H,0.6395563,0.12073152,0.23971221,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-08-26,2006,H,A,0.0035754184,0.0054610074,0.9909636,5.5,3.6,1.61,A,1.61,False,-100.0
2006-08-27,2006,H,A,0.09695539,0.23203303,0.6710116,2.37,3.1,3.0,A,3.0,False,-100.0
2006-08-27,2006,A,H,0.45288512,0.4127259,0.13438895,6.5,3.6,1.53,H,6.5,False,-100.0
2006-08-28,2006,A,H,0.70886505,0.073003545,0.21813144,2.0,3.2,3.75,H,2.0,False,-100.0
2006-09-09,2006,H,H,0.84196883,0.13252443,0.025506772,1.2,5.5,17.0,H,1.2,True,19.999999999999996
2006-09-09,2006,D,H,0.96879923,0.02253354,0.008667248,1.33,4.33,10.0,H,1.33,False,-100.0
2006-09-09,2006,H,H,0.67725027,0.23423235,0.08851737,1.66,3.4,5.5,H,1.66,True,65.99999999999999
2006-09-09,2006,H,A,0.09787656,0.09741171,0.80471176,3.75,3.2,2.0,A,2.0,False,-100.0
2006-09-09,2006,H,H,0.75623274,0.17645276,0.067314446,1.83,3.25,4.5,H,1.83,True,83.0
2006-09-09,2006,D,D,0.022952726,0.4892117,0.48783562,2.62,3.2,2.62,D,3.2,True,220.00000000000003
2006-09-09,2006,A,H,0.47114477,0.38548633,0.14336886,1.72,3.4,5.0,H,1.72,False,-100.0
2006-09-09,2006,H,H,0.9425796,0.055411316,0.0020090928,1.5,3.75,7.0,H,1.5,True,50.0
2006-09-10,2006,D,H,0.8374297,0.05239871,0.11017153,2.1,3.2,3.5,H,2.1,False,-100.0
2006-09-11,2006,H,H,0.5245705,0.38000616,0.09542333,2.3,3.1,3.1,H,2.3,True,129.99999999999997
2006-09-16,2006,D,H,0.83450824,0.12671396,0.03877781,1.72,3.4,5.0,H,1.72,False,-100.0
2006-09-16,2006,D,H,0.8030398,0.08265384,0.11430642,2.0,3.2,3.75,H,2.0,False,-100.0
2006-09-16,2006,A,A,0.22485562,0.11748725,0.65765715,2.3,3.25,3.0,A,3.0,True,200.0
2006-09-16,2006,A,D,0.060866423,0.72660255,0.21253107,2.5,3.1,2.8,D,3.1,False,-100.0
2006-09-16,2006,D,H,0.46910113,0.064412914,0.46648595,2.75,3.2,2.5,H,2.75,False,-100.0
2006-09-17,2006,H,H,0.79447144,0.09420531,0.11132326,2.0,3.2,3.75,H,2.0,True,100.0
2006-09-17,2006,D,H,0.6651896,0.32662484,0.008185562,1.61,3.4,6.0,H,1.61,False,-100.0
2006-09-17,2006,H,H,0.5814555,0.16329695,0.25524753,1.83,3.25,4.5,H,1.83,True,83.0
2006-09-17,2006,A,A,0.1909532,0.09516551,0.71388125,2.1,3.2,3.5,A,3.5,True,250.0
2006-09-17,2006,A,H,0.6354122,0.34078464,0.02380311,1.9,3.25,4.0,H,1.9,False,-100.0
2006-09-20,2006,H,H,0.8410202,0.066417895,0.09256191,1.53,3.6,6.5,H,1.53,True,53.0
2006-09-23,2006,A,A,0.28391433,0.17343932,0.54264635,2.1,3.1,3.5,A,3.5,True,250.0
2006-09-23,2006,D,H,0.7711455,0.15067922,0.07817531,1.83,3.3,4.33,H,1.83,False,-100.0
2006-09-23,2006,H,A,0.20313871,0.045657795,0.75120354,2.25,3.2,3.1,A,3.1,False,-100.0
2006-09-23,2006,D,A,0.0023772214,0.040440895,0.9571819,7.0,3.75,1.5,A,1.5,False,-100.0
2006-09-23,2006,A,A,0.0071270377,0.23239268,0.7604802,7.5,4.33,1.4,A,1.4,True,39.99999999999999
2006-09-23,2006,H,H,0.9706819,0.006853192,0.022464925,1.2,5.5,17.0,H,1.2,True,19.999999999999996
2006-09-23,2006,H,H,0.8255106,0.14469801,0.029791323,1.61,3.75,5.25,H,1.61,True,61.00000000000001
2006-09-23,2006,H,H,0.4480819,0.12045782,0.43146026,1.8,3.4,4.33,H,1.8,True,80.0
2006-09-24,2006,D,H,0.595724,0.32101634,0.08325968,2.2,3.2,3.25,H,2.2,False,-100.0
2006-09-25,2006,A,H,0.816691,0.16020866,0.023100372,1.9,3.25,4.0,H,1.9,False,-100.0
2006-09-30,2006,H,A,0.29080173,0.054165438,0.6550328,2.6,3.25,2.6,A,2.6,False,-100.0
2006-09-30,2006,D,H,0.9893255,0.009042615,0.0016318321,1.3,5.0,8.5,H,1.3,False,-100.0
2006-09-30,2006,D,H,0.47968882,0.24991888,0.27039236,1.83,3.3,4.33,H,1.83,False,-100.0
2006-09-30,2006,H,A,0.03472254,0.38134372,0.5839337,3.75,3.2,2.0,A,2.0,False,-100.0
2006-09-30,2006,A,A,0.013682392,0.027471848,0.9588458,6.5,3.6,1.53,A,1.53,True,53.0
2006-10-01,2006,H,A,0.08946199,0.08992546,0.8206126,1.9,3.25,4.0,A,4.0,False,-100.0
2006-10-01,2006,H,H,0.9923483,0.0048446096,0.0028070437,1.3,4.33,13.0,H,1.3,True,30.000000000000004
2006-10-01,2006,H,H,0.7081551,0.21083729,0.08100755,1.8,3.25,4.5,H,1.8,True,80.0
