Date,Home,Away,FTR,HO,DO,AO,H_Pts,H_GC,H_S,H_ST,H_C,A_Pts,A_GC,A_S,A_ST,A_C
2001-08-20,Everton,Tottenham,D,2.25,3.20,2.75,3.0,1.0,12.0,9.0,4.0,1.0,0.0,8.0,2.0,6.0
2001-08-21,Ipswich,Derby,H,1.66,3.30,4.50,0.0,1.0,10.0,4.0,1.0,3.0,1.0,7.0,3.0,4.0
2001-08-21,Bolton,Middlesbr.,H,2.20,3.25,2.75,3.0,0.0,18.0,8.0,5.0,0.0,4.0,6.0,2.0,2.0
2001-08-21,Arsenal,Leeds,A,1.72,3.25,4.20,3.0,0.0,14.0,9.0,6.0,3.0,0.0,16.0,6.0,10.0
2001-08-22,Blackburn,Man Utd,D,4.50,3.30,1.66,0.0,2.0,14.0,4.0,10.0,3.0,2.0,12.0,6.0,6.0
2001-08-22,Fulham,Sunderland,H,1.90,3.20,3.50,0.0,3.0,8.0,5.0,4.0,3.0,0.0,12.0,6.0,1.0
2001-08-25,Arsenal,Leicester,H,1.22,5.00,9.50,1.5,1.0,14.0,7.0,8.0,0.0,5.0,6.0,1.0,3.0
2001-08-25,Blackburn,Tottenham,H,2.30,3.10,2.75,0.5,2.0,13.0,4.5,6.5,1.0,0.5,7.5,2.0,3.0
2001-08-25,Everton,Middlesbr.,H,2.00,3.10,3.30,2.0,1.0,15.0,10.0,6.0,0.0,2.5,8.5,3.0,2.0
2001-08-25,Fulham,Derby,D,1.50,3.40,6.00,1.5,1.5,10.5,5.0,6.0,1.5,2.0,4.5,2.5,3.0
