Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds,Home_Avg_Points_L5,Home_Avg_GoalsConceded_L5,Home_Avg_Shots_L5,Home_Avg_ShotsTarget_L5,Home_Avg_Corners_L5,Away_Avg_Points_L5,Away_Avg_GoalsConceded_L5,Away_Avg_Shots_L5,Away_Avg_ShotsTarget_L5,Away_Avg_Corners_L5
2001-08-20,Everton,Tottenham,D,2.25,3.2,2.75,3.0,1.0,12.0,9.0,4.0,1.0,0.0,8.0,2.0,6.0
2001-08-21,Ipswich,Derby,H,1.66,3.3,4.5,0.0,1.0,10.0,4.0,1.0,3.0,1.0,7.0,3.0,4.0
2001-08-21,Bolton,Middlesbrough,H,2.2,3.25,2.75,3.0,0.0,18.0,8.0,5.0,0.0,4.0,6.0,2.0,2.0
2001-08-21,Arsenal,Leeds,A,1.72,3.25,4.2,3.0,0.0,14.0,9.0,6.0,3.0,0.0,16.0,6.0,10.0
2001-08-22,Blackburn,Man United,D,4.5,3.3,1.66,0.0,2.0,14.0,4.0,10.0,3.0,2.0,12.0,6.0,6.0
2001-08-22,Fulham,Sunderland,H,1.9,3.2,3.5,0.0,3.0,8.0,5.0,4.0,3.0,0.0,12.0,6.0,1.0
2001-08-25,Arsenal,Leicester,H,1.22,5.0,9.5,1.5,1.0,14.0,7.0,8.0,0.0,5.0,6.0,1.0,3.0
2001-08-25,Blackburn,Tottenham,H,2.3,3.1,2.75,0.5,2.0,13.0,4.5,6.5,1.0,0.5,7.5,2.0,3.0
2001-08-25,Everton,Middlesbrough,H,2.0,3.1,3.3,2.0,1.0,15.0,10.0,6.0,0.0,2.5,8.5,3.0,2.0
2001-08-25,Fulham,Derby,D,1.5,3.4,6.0,1.5,1.5,10.5,5.0,6.0,1.5,2.0,4.5,2.5,3.0
2001-08-25,Ipswich,Charlton,A,1.61,3.3,5.0,1.5,1.0,20.0,11.0,10.0,0.0,2.0,8.0,4.0,4.0
2001-08-25,Southampton,Chelsea,A,3.0,3.2,2.1,0.0,2.0,11.0,6.0,3.0,1.0,1.0,13.0,8.0,12.0
2001-08-25,West Ham,Leeds,D,3.1,3.3,2.0,0.0,2.0,3.0,3.0,3.0,3.0,0.5,10.5,4.0,6.0
2001-08-26,Aston Villa,Man United,D,4.2,3.25,1.72,1.0,0.0,11.0,2.0,5.0,2.0,2.0,15.0,6.5,7.0
2001-08-26,Newcastle,Sunderland,D,2.2,3.1,2.87,1.0,1.0,9.0,3.0,7.0,1.5,1.0,10.0,4.5,5.0
2001-08-27,Bolton,Liverpool,H,5.5,3.3,1.57,3.0,0.0,15.5,5.5,5.0,3.0,1.0,9.0,6.0,5.0
2001-09-08,Chelsea,Arsenal,D,2.5,3.1,2.5,2.0,0.5,10.0,5.0,7.0,2.0,0.6666666666666666,16.0,8.333333333333334,8.333333333333334
2001-09-08,Derby,West Ham,D,2.2,3.1,2.87,1.3333333333333333,1.3333333333333333,6.0,2.3333333333333335,3.0,0.5,1.0,7.0,3.0,4.0
2001-09-08,Leeds,Bolton,D,1.44,3.75,6.0,2.3333333333333335,0.3333333333333333,10.333333333333334,4.0,6.666666666666667,3.0,0.3333333333333333,14.0,5.0,4.666666666666667
