Date,Season,Actual,Predicted,HomeProb,DrawProb,AwayProb,HomeOdds,DrawOdds,AwayOdds,Bet_Outcome,Bet_Odds,Won,PnL
2006-08-19,2006,H,H,0.52,0.29,0.19,2.0,3.2,3.75,H,2.0,True,100.0
2006-08-19,2006,H,H,0.75,0.12,0.13,2.3,3.1,3.1,H,2.3,True,129.99999999999997
2006-08-19,2006,D,H,0.81,0.12,0.07,1.28,4.5,13.0,H,1.28,False,-100.0
2006-08-19,2006,H,A,0.4,0.2,0.4,2.62,3.2,2.6,A,2.6,False,-100.0
2006-08-19,2006,H,H,0.63,0.13,0.24,1.72,3.5,4.75,H,1.72,True,72.0
2006-08-20,2006,H,H,0.64,0.08,0.28,1.22,5.5,13.0,H,1.22,True,21.999999999999996
2006-08-20,2006,H,H,0.69,0.15,0.16,1.22,5.5,13.0,H,1.22,True,21.999999999999996
2006-08-22,2006,H,H,0.77,0.19,0.04,1.5,3.75,7.0,H,1.5,True,50.0
2006-08-22,2006,D,H,0.48,0.1,0.42,2.87,3.2,2.4,H,2.87,False,-100.0
2006-08-23,2006,D,H,0.4,0.21,0.39,2.2,3.1,3.1,H,2.2,False,-100.0
2006-08-23,2006,H,A,0.14,0.23,0.63,8.5,3.75,1.44,A,1.44,False,-100.0
2006-08-23,2006,D,A,0.31,0.34,0.35,2.4,3.2,2.87,A,2.87,False,-100.0
2006-08-23,2006,D,H,0.48,0.28,0.24,2.3,3.1,3.1,H,2.3,False,-100.0
2006-08-23,2006,H,H,0.38,0.26,0.36,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-08-23,2006,A,A,0.18,0.17,0.65,7.5,3.6,1.5,A,1.5,True,50.0
2006-08-26,2006,H,H,0.57,0.35,0.08,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-08-26,2006,A,A,0.05,0.19,0.76,7.5,4.33,1.4,A,1.4,True,39.99999999999999
2006-08-26,2006,A,D,0.39,0.51,0.1,1.72,3.4,5.0,D,3.4,False,-100.0
2006-08-26,2006,H,H,0.38,0.28,0.34,2.5,3.1,2.8,H,2.5,True,150.0
2006-08-26,2006,H,H,0.75,0.15,0.1,1.44,4.0,7.5,H,1.44,True,43.99999999999999
2006-08-26,2006,H,H,0.48,0.32,0.2,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-08-26,2006,H,A,0.05,0.09,0.86,5.5,3.6,1.61,A,1.61,False,-100.0
2006-08-27,2006,H,A,0.31,0.26,0.43,2.37,3.1,3.0,A,3.0,False,-100.0
2006-08-27,2006,A,D,0.16,0.45,0.39,6.5,3.6,1.53,D,3.6,False,-100.0
2006-08-28,2006,A,H,0.5,0.25,0.25,2.0,3.2,3.75,H,2.0,False,-100.0
2006-09-09,2006,H,H,0.76,0.15,0.09,1.2,5.5,17.0,H,1.2,True,19.999999999999996
2006-09-09,2006,D,H,0.85,0.13,0.02,1.33,4.33,10.0,H,1.33,False,-100.0
2006-09-09,2006,H,H,0.64,0.22,0.14,1.66,3.4,5.5,H,1.66,True,65.99999999999999
2006-09-09,2006,H,A,0.33,0.25,0.42,3.75,3.2,2.0,A,2.0,False,-100.0
2006-09-09,2006,H,H,0.57,0.25,0.18,1.83,3.25,4.5,H,1.83,True,83.0
2006-09-09,2006,D,D,0.22,0.43,0.35,2.62,3.2,2.62,D,3.2,True,220.00000000000003
2006-09-09,2006,A,H,0.55,0.23,0.22,1.72,3.4,5.0,H,1.72,False,-100.0
2006-09-09,2006,H,H,0.8,0.19,0.01,1.5,3.75,7.0,H,1.5,True,50.0
2006-09-10,2006,D,H,0.53,0.17,0.3,2.1,3.2,3.5,H,2.1,False,-100.0
2006-09-11,2006,H,H,0.45,0.3,0.25,2.3,3.1,3.1,H,2.3,True,129.99999999999997
2006-09-16,2006,D,H,0.7,0.19,0.11,1.72,3.4,5.0,H,1.72,False,-100.0
2006-09-16,2006,D,H,0.51,0.26,0.23,2.0,3.2,3.75,H,2.0,False,-100.0
2006-09-16,2006,A,H,0.4,0.27,0.33,2.3,3.25,3.0,H,2.3,False,-100.0
2006-09-16,2006,A,A,0.31,0.23,0.46,2.5,3.1,2.8,A,2.8,True,179.99999999999997
2006-09-16,2006,D,A,0.33,0.16,0.51,2.75,3.2,2.5,A,2.5,False,-100.0
2006-09-17,2006,H,H,0.67,0.19,0.14,2.0,3.2,3.75,H,2.0,True,100.0
2006-09-17,2006,D,H,0.68,0.28,0.04,1.61,3.4,6.0,H,1.61,False,-100.0
2006-09-17,2006,H,H,0.55,0.22,0.23,1.83,3.25,4.5,H,1.83,True,83.0
